cast_time_local,lat,lon,Depth (Meter),Temperature (Celsius),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
2025-12-09 14:50:27,19.6644734,85.2138391,0.1526267266475821,23.700468655718925,9.123973921356185,1503.2147132520831,1004.2424912269744
2025-12-09 14:50:27,19.6644734,85.2138391,0.4579051269911049,23.732357344543104,9.060590720660313,1503.2370301444053,1004.1880327121103
2025-12-09 14:50:27,19.6644734,85.2138391,0.763177490082164,23.698494900213603,9.124276653353583,1503.2197353664712,1004.245912238787
2025-12-09 14:50:27,19.6644734,85.2138391,1.0684375432926516,23.63223737116624,9.131084252960008,1503.0528327800625,1004.2693992023558
2025-12-09 14:50:27,19.6644734,85.2138391,1.3736887726635187,23.5337664344518,9.142238737143675,1502.8028829929303,1004.3043602818393
2025-12-09 14:50:27,19.6644734,85.2138391,1.6789277703372432,23.4124208720622,9.160318503121978,1502.4974769728599,1004.3502720140862
2025-12-09 14:50:27,19.6644734,85.2138391,1.984151894909537,23.352724530300897,9.207985020225975,1502.3915765170827,1004.4026250353668
2025-12-09 14:50:27,19.6644734,85.2138391,2.289340005404551,23.21242077535954,9.405126400773177,1502.2277719098252,1004.5877241140365
2025-12-09 14:50:27,19.6644734,85.2138391,2.540047402725519,23.27324498070014,9.37455679135993,1502.364990684057,1004.5504255796659
2025-12-09 16:14:38,19.690329,85.2101078,0.1527050224849761,23.5308916621979,8.37740194382183,1501.9427200114212,1003.7252159135096
2025-12-09 16:14:38,19.690329,85.2101078,0.45813309741265396,23.540779926408153,8.373938268752495,1501.970862885829,1003.7214383379135
2025-12-09 16:14:38,19.690329,85.2101078,0.7635564310892781,23.544653827358683,8.369403606765141,1501.9814658361606,1003.718387835781
2025-12-09 16:14:38,19.690329,85.2101078,1.0689800752874459,23.522886976700665,8.362085976623396,1501.919267635636,1003.7197819335097
2025-12-09 16:14:38,19.690329,85.2101078,1.3744023765683864,23.482692599448743,8.357088634685823,1501.8093291923021,1003.7275999800752
2025-12-09 16:14:38,19.690329,85.2101078,1.6798218028516145,23.441187724307067,8.356525197236733,1501.700494459649,1003.7390644636372
2025-12-09 16:14:38,19.690329,85.2101078,1.9852382468993994,23.414708805701594,8.35714271024659,1501.6338405545207,1003.7475891728783
2025-12-09 16:14:38,19.690329,85.2101078,2.2924356143828217,23.486589032822614,8.332995894423588,1501.8086946782257,1003.7125458210649
2025-12-09 16:56:03,19.7159163,85.1955625,0.15267788873783184,23.60249657780811,8.63670717992895,1502.419605244688,1003.901709959031
2025-12-09 16:56:03,19.7159163,85.1955625,0.45805151229933344,23.60726105954207,8.636179849500177,1502.4369711923346,1003.9014384664147
2025-12-09 16:56:03,19.7159163,85.1955625,0.7634192570830383,23.607095558939562,8.6345409009327,1502.4397449583228,1003.9015930606841
2025-12-09 16:56:03,19.7159163,85.1955625,1.0687869975780728,23.604539597835593,8.63222274039115,1502.4352955236689,1003.9018498265303
2025-12-09 16:56:03,19.7159163,85.1955625,1.4020839816734545,23.61630925473342,8.628189398351063,1502.4683120089142,1003.8972748639613
2025-12-10 09:33:05,19.7265974,85.243467,0.15267196215535123,21.981989053685368,8.15389372010991,1497.3881588591141,1003.9401131032055
2025-12-10 09:33:05,19.7265974,85.243467,0.45803282977238124,21.970127516786103,8.155291142853983,1497.3609284239137,1003.9453580154735
2025-12-10 09:33:05,19.7265974,85.243467,0.7633855008261918,21.935115090534822,8.155659133881283,1497.2667061914715,1003.9553759237676
2025-12-10 09:33:05,19.7265974,85.243467,1.0687354413474126,21.899982619059596,8.15375102797357,1497.1695381043912,1003.9636957630377
2025-12-10 09:33:05,19.7265974,85.243467,1.3740830634406729,21.88377253996011,8.156517110360706,1497.1313553228479,1003.9710041060137
2025-12-10 09:33:05,19.7265974,85.243467,1.679429972422707,21.891241879689534,8.154133135003754,1497.1549596560926,1003.968767907819
2025-12-10 09:33:05,19.7265974,85.243467,2.031975923039714,21.934197909183872,8.14945780783078,1497.2779428099977,1003.9565299724866
2025-12-10 10:18:35,19.7289959,85.2754544,0.1526655269820305,22.819786619399,8.480394394863305,1500.1004391010085,1003.9814755768028
2025-12-10 10:18:35,19.7289959,85.2754544,0.45801336784129737,22.78310046943163,8.481342107791312,1500.00459656995,1003.9926368719165
2025-12-10 10:18:35,19.7289959,85.2754544,0.7633515503450513,22.73407079723607,8.479478406032527,1499.8712100772873,1004.0047232064468
2025-12-10 10:18:35,19.7289959,85.2754544,1.0686860864189676,22.683309774752257,8.477325845490588,1499.732512030347,1004.01699985699
2025-12-10 10:18:35,19.7289959,85.2754544,1.3740164589557449,22.628388092664707,8.47810761092342,1499.5852335172215,1004.0324880927711
2025-12-10 10:18:35,19.7289959,85.2754544,1.6793442384493547,22.61514939741194,8.474571001093928,1499.5494048025546,1004.0344366501862
2025-12-10 10:18:35,19.7289959,85.2754544,1.9846733179892275,22.617675087910417,8.460166975314136,1499.5456621716996,1004.024322518564
2025-12-10 10:18:35,19.7289959,85.2754544,2.2115941837789994,22.64316839394836,8.455585698358298,1499.615483099499,1004.0155915648
2025-12-10 11:18:26,19.7276128,85.3144589,0.15271765298671416,22.710083926915406,7.989965953531098,1499.258146018904,1003.6396334845116
2025-12-10 11:18:26,19.7276128,85.3144589,0.45817123512572877,22.714797785570465,7.985557904032764,1499.271450064645,1003.6365023906295
2025-12-10 11:18:26,19.7276128,85.3144589,0.7636197039722065,22.71338649865721,7.980639067125456,1499.2671166315276,1003.634496590661
2025-12-10 11:18:26,19.7276128,85.3144589,1.0690688633759615,22.711527655801685,7.975383118610577,1499.2611647235356,1003.6323473068306
2025-12-10 11:18:26,19.7276128,85.3144589,1.374518836198609,22.71065650775058,7.969569160703654,1499.2573548227294,1003.6295347743763
2025-12-10 11:18:26,19.7276128,85.3144589,1.679969173620434,22.70266258108124,7.966223546276467,1499.2363912555575,1003.6303356207824
2025-12-10 11:18:26,19.7276128,85.3144589,1.9420580147474888,22.70795417148648,7.963877370705454,1499.2528614107732,1003.6284229103827
2025-12-10 12:48:51,19.723375,85.2186695,0.1527263542759344,22.620174628816102,7.884425827031859,1498.8913901121032,1003.5823237256621
2025-12-10 12:48:51,19.723375,85.2186695,0.45819769240631913,22.62576033901772,7.880240157444093,1498.9074053136803,1003.5791500156224
2025-12-10 12:48:51,19.723375,85.2186695,0.7636637776989584,22.6298540523907,7.877384671464161,1498.9207083246768,1003.5773442066117
2025-12-10 12:48:51,19.723375,85.2186695,1.0691294513981822,22.62484747524638,7.880461428204875,1498.9150798873252,1003.582237059919
2025-12-10 12:48:51,19.723375,85.2186695,1.3745901452841094,22.577582474968178,7.900749689663706,1498.8101053103862,1003.6104498936297
2025-12-10 12:48:51,19.723375,85.2186695,1.6800387342140413,22.520981475564884,7.949277902007932,1498.7096586182925,1003.6621721011394
2025-12-10 12:48:51,19.723375,85.2186695,1.934290446818774,22.55097367732277,7.931474075074867,1498.7783273817797,1003.6425538669693
2025-12-10 13:41:05,19.7160617,85.1959559,0.15269177399389328,23.16907611728881,8.367425867199492,1500.9419765817404,1003.8092736321886
2025-12-10 13:41:05,19.7160617,85.1959559,0.4580947392814722,23.1708755377517,8.36115613333015,1500.94507883051,1003.8054534444758
2025-12-10 13:41:05,19.7160617,85.1959559,0.7634923988882546,23.174781464540104,8.35758043108735,1500.956911527622,1003.8031284175809
2025-12-10 13:41:05,19.7160617,85.1959559,1.0688904229905003,23.15683725364536,8.350206095939038,1500.9045142967877,1003.8034403588694
2025-12-10 13:41:05,19.7160617,85.1959559,1.3584044014153376,23.162864158864654,8.338932317315113,1500.9135192239135,1003.7947265286275
